Serial No,Test Code,Test Name,sample type,fasting
1,ALDRR,Aldosterone / Plasma Direct Renin Ratio,"SERUM,EDTA",YES
2,APHANI,ALLERGY ANIMAL PANEL (BY PHADIA),SERUM,NO
3,APASTS,ALLERGY ASTHMA / RHINITIS SCREENING (BY PHADIA),SERUM,NO
4,APCER,ALLERGY CEREAL/VEG FOOD PANEL (BY PHADIA),SERUM,NO
5,APCOM,ALLERGY COMPREHENSIVE PROFILE (BY PHADIA),SERUM,NO
6,APDUST,ALLERGY DUST PANEL (BY PHADIA),SERUM,NO
7,APECZ,ALLERGY ECZEMA SCREENING PANEL (BY PHADIA),SERUM,NO
8,APFP1,ALLERGY FOOD PANEL 1 (BY PHADIA),SERUM,NO
9,APFR1,ALLERGY FRUIT PANEL 1 (BY PHADIA),SERUM,NO
10,APFR2,ALLERGY FRUIT PANEL 2 (BY PHADIA),SERUM,NO
11,APNV1,ALLERGY NON-VEGETARIAN PANEL 1 (BY PHADIA),SERUM,NO
12,APNV2,ALLERGY NON-VEGETARIAN PANEL 2 (BY PHADIA),SERUM,NO
13,APNUT,ALLERGY NUT PANEL (BY PHADIA),SERUM,NO
14,APPOL,ALLERGY POLLEN PANEL (BY PHADIA),SERUM,NO
15,APVE1,ALLERGY VEGETABLE PANEL 1 (BY PHADIA),SERUM,NO
16,APVE2,ALLERGY VEGETABLE PANEL 2 (BY PHADIA),SERUM,NO
17,APVE3,ALLERGY VEGETABLE PANEL 3 (BY PHADIA),SERUM,NO
18,AAP,AMINO ACID PROFILE (35),SERUM,NO
19,APR,APOLIPROTEIN RATIO,SERUM,NO
20,BTHAL,BETA-THALASSEMIA SCREENING,EDTA,NO
21,BEAP,BLOOD ELEMENT ANALYSIS PROFILE,EDTA,NO
22,BGRT,BLOOD GROUPING AND RH TYPING,EDTA,NO
23,CD3,CD3CD4CD8,EDTA,NO
24,CHIRAP,CHIKUNGUNYA RAPID TEST (IGG/IGM),SERUM,NO
25,CUA,COMPLETE URINE ANALYSIS,URINE,NO
26,DENRAP,DENGUE RAPID TEST (IGG/IGM),SERUM,NO
27,DOA P6,DOA PANEL-6,URINE,NO
28,DMFT8-13WT,DOUBLE MARKER FIRST TRIMESTER 8-13 WEEK (FMF CERTIFIED),SERUM,NO
29,EGFRED,EGFR (ESTIMATED GLOMERULAR FILTRATION RATE),SERUM,NO
30,E22,ELEMENTS 22 (TOXIC AND NUTRIENTS),EDTA,NO
31,FIB4IN,FIBROSIS INDEX (FIB-4),"SERUM,EDTA",NO
32,FLUPANEL,FLU PANEL,SWABS(RES),NO
33,FOODI,FOOD INTOLERANCE PROFILE,SERUM,NO
34,AdvancedTFT,FT3-FT4-USTSH,SERUM,NO
35,GT100,GLUCOSE TOLERANCE TEST (100 GM),FLOURIDE-4,YES
36,GT75,GLUCOSE TOLERANCE TEST (75 GM),FLOURIDE-3,YES
37,HBA P,HBA PROFILE,EDTA,NO
38,HBA1CWG,HbA1c with Graph,EDTA,NO
39,HVA,HEMOGLOBIN VARIANT ANALYSIS - HPLC,EDTA,NO
40,H6,HEMOGRAM - 6 PART (DIFF),EDTA,NO
41,HIVRA,HIV 1 AND 2 ANTIBODY RAPID SCREENING TEST,SERUM,NO
42,HIRI,HOMA INSULIN RESISTANCE INDEX,"SERUM,FLOURIDE",YES
43,BILI-IND,INDIRECT BILIRUBIN,SERUM,NO
44,INFLPLABH,INFLUENZA PANEL (INFLUENZA A AND B AND H1N1),SWABS(RES),NO
45,INSINDICES,INSULIN INDICES,"FLOURIDE,SERUM",YES
46,IRONPRO,IRON DEFICIENCY PROFILE,SERUM,YES
47,KAPLAMRTIO,KAPPA LAMBDA RATIO,SERUM,YES
48,KIDPRO,KIDPRO,SERUM,NO
49,KPWOCALC,KIDPRO WITHOUT CALCIUM,SERUM,NO
50,LEPRAP,LEPTOSPIRA RAPID TEST (IGG/IGM),SERUM,NO
51,LFSR,LH FSH RATIO,SERUM,NO
52,LIPID,LIPID PROFILE,SERUM,YES
53,LFT,LIVER FUNCTION TESTS,SERUM,NO
54,MA,MALARIAL ANTIGEN,EDTA,NO
55,NEOT,NEOT,EDTA,NO
56,OG50,ORAL GLUCOSE CHALLENGE TEST (50 GM),FLOURIDE-2,YES
57,PBS,PERIPHERAL BLOOD SMEAR (PBS),EDTA,NO
58,PMARKER,PREECLAMPSIA MARKERS,SERUM,NO
59,QMST14-22,QUADRUPLE MARKER SECOND TRIMESTER 14-22 WEEK,SERUM,NO
60,Q -TB,QUANTIFERON - TB,LITHIUM HEPARIN,NO
61,QTBGP,QUANTIFERON -TB GOLD PLUS,LITHIUM HEPARIN,NO
62,ROMAPRO,ROMA (RISK OF OVARIAN MALIGNANCY),SERUM,NO
63,RUA,ROUTINE URINE ANALYSIS,URINE,NO
64,SCRRAP,SCRUB TYPHUS RAPID TEST (IGG/IGM),SERUM,NO
65,SA-GR,SERUM ALBUMIN-GLOBULIN RATIO,SERUM,NO
66,SBCR,SERUM BUN-CREATININE RATIO,SERUM,NO
67,SEEL,SERUM ELECTROLYTES,SERUM,NO
68,OT-PTR,SERUM SGOT-SGPT RATIO,SERUM,NO
69,SUCR,SERUM UREA-CREATININE RATIO,SERUM,NO
70,STEROID,STEROID PROFILE,SERUM,NO
71,SP-10,STEROID PROFILE-10,SERUM,NO
72,SP-9,STEROID PROFILE-9,SERUM,NO
73,ULTRATFT,T3-T4-USTSH,SERUM,YES
74,TMST14-22,TRIPLE MARKER SECOND TRIMESTER 14-22 WEEK,SERUM,NO
75,TYPH,TYPHOID TEST,SERUM,NO
76,UAAC,URINE ANALYSIS AND CULTURE,URINE,NO
77,URELE,URINE ELECTROLYTES,URINE,NO
78,UEAP,URINE ELEMENT ANALYSIS PROFILE,URINE,NO
79,UMA,URINE MICROALBUMIN,URINE,NO
80,UPCRP,URINE PROTEIN CREATININE RATIO,URINE,NO
81,UROG,URINOGRAM,URINE,NO
82,VIRPAN,VIRAL FLU PANEL (INFLUENZA A B H3N2 H1N1 RSV) QUALITATIVE RT-PCR,NO,NO
83,WBCVP,VITAMIN B COMPLEX PROFILE,SERUM,NO
84,VDP,VITAMIN D PROFILE,SERUM,NO
85,VDTAB12C,VITAMIN D TOTAL AND B12 COMBO,SERUM,NO
86,WIDAL,WIDAL,SERUM,NO
87,WITA,WIDAL TUBE AGGLUTINATION,SERUM,NO
